ID,Relationship,Target_ID
HAO:0000139,is_a,HAO:0000822
HAO:0000139,BFO:0000050,HAO:0000456
HAO:0000140,is_a,HAO:0000901
HAO:0000140,BFO:0000050,HAO:0000135
HAO:0000141,is_a,HAO:0000146
HAO:0000141,BFO:0000050,HAO:0000385
HAO:0000142,is_a,HAO:0000822
HAO:0000142,is_a,HAO:0002021
HAO:0000143,is_a,HAO:0000142
HAO:0000144,is_a,HAO:0000003
HAO:0000144,BFO:0000050,HAO:0000012
HAO:0000146,is_a,HAO:0000003
HAO:0000146,BFO:0000050,HAO:0000240
HAO:0000147,is_a,HAO:0001091
HAO:0000147,BFO:0000050,HAO:0000351
HAO:0000148,is_a,HAO:0001587
HAO:0000148,BFO:0000050,HAO:0000820
HAO:0000149,is_a,HAO:0000008
HAO:0000150,is_a,HAO:0000829
HAO:0000151,is_a,HAO:0000041
HAO:0000152,is_a,HAO:0000417
HAO:0000152,BFO:0000050,HAO:0001103
HAO:0000152,BFO:0000050,HAO:0001579
HAO:0000154,is_a,HAO:0000909
HAO:0000154,BFO:0000050,HAO:0000820
HAO:0000155,is_a,HAO:0000146
HAO:0000155,BFO:0000050,HAO:0000572
HAO:0000156,is_a,HAO:0001586
HAO:0000156,BFO:0000050,HAO:0000155
HAO:0000157,is_a,HAO:0000146
HAO:0000157,BFO:0000050,HAO:0001090
HAO:0000158,is_a,HAO:0000041
HAO:0000158,BFO:0000050,HAO:0000882
HAO:0000159,is_a,HAO:0000909
HAO:0000159,BFO:0000050,HAO:0000158
HAO:0000160,is_a,HAO:0000146
HAO:0000160,BFO:0000050,HAO:0000574
HAO:0000161,is_a,HAO:0001159
HAO:0000161,is_a,HAO:0000188
HAO:0000161,BFO:0000050,HAO:0000574
HAO:0000162,is_a,HAO:0000903
HAO:0000162,BFO:0000050,HAO:0000574
HAO:0000163,is_a,HAO:0000146
HAO:0000164,is_a,HAO:0000822
HAO:0000164,BFO:0000050,HAO:0000909
HAO:0000165,is_a,HAO:0000146
HAO:0000165,BFO:0000050,HAO:0000703
HAO:0000166,is_a,HAO:0000902
HAO:0000166,BFO:0000050,HAO:0000987
HAO:0000168,is_a,HAO:0000041
HAO:0000168,BFO:0000050,HAO:0000312
HAO:0000169,is_a,HAO:0000188
HAO:0000169,BFO:0000050,HAO:0001008
HAO:0000170,is_a,HAO:0001095
HAO:0000170,BFO:0000050,HAO:0001191
HAO:0000171,is_a,HAO:0000909
HAO:0000171,BFO:0000050,HAO:0000883
HAO:0000173,is_a,HAO:0000899
HAO:0000173,BFO:0000050,HAO:0000228
HAO:0000174,is_a,HAO:0000978
HAO:0000174,BFO:0000050,HAO:0000228
HAO:0000175,is_a,HAO:0000146
HAO:0000175,BFO:0000050,HAO:0000228
HAO:0000176,is_a,HAO:0000146
HAO:0000176,BFO:0000050,HAO:0000309
HAO:0000177,is_a,HAO:0000648
HAO:0000177,BFO:0000050,HAO:0001106
HAO:0000178,is_a,HAO:0000991
HAO:0000178,BFO:0000050,HAO:0000992
HAO:0000179,is_a,HAO:0000146
HAO:0000179,BFO:0000050,HAO:0000385
HAO:0000180,is_a,HAO:0000041
HAO:0000180,BFO:0000050,HAO:0000339
HAO:0000181,is_a,HAO:0000146
HAO:0000181,BFO:0000050,HAO:0000506
HAO:0000182,is_a,HAO:0000041
HAO:0000182,BFO:0000050,HAO:0000012
HAO:0000183,is_a,HAO:0000929
HAO:0000183,BFO:0000050,HAO:0000182
HAO:0000184,is_a,HAO:0001980
HAO:0000184,BFO:0000050,HAO:0001095
HAO:0000186,is_a,HAO:0000005
HAO:0000186,BFO:0000050,HAO:0000324
HAO:0000187,is_a,HAO:0000909
HAO:0000187,BFO:0000050,HAO:0000513
HAO:0000188,is_a,HAO:0000822
HAO:0000188,BFO:0000050,HAO:0000909
HAO:0000189,is_a,HAO:0000221
HAO:0000189,BFO:0000050,HAO:0000603
HAO:0000191,is_a,HAO:0000930
HAO:0000191,BFO:0000050,HAO:0000626
HAO:0000192,is_a,HAO:0000142
HAO:0000192,BFO:0000050,HAO:0000193
HAO:0000193,is_a,HAO:0000150
HAO:0000193,BFO:0000050,HAO:0000862
HAO:0000194,is_a,HAO:0000146
HAO:0000194,BFO:0000050,HAO:0000837
HAO:0000197,is_a,HAO:0000901
HAO:0000197,BFO:0000050,HAO:0001017
HAO:0000198,is_a,HAO:0002299
HAO:0000198,BFO:0000050,HAO:0000421
HAO:0000199,is_a,HAO:0000005
HAO:0000200,is_a,HAO:0000146
HAO:0000200,BFO:0000050,HAO:0000234
HAO:0000201,is_a,HAO:0000005
HAO:0000202,is_a,HAO:0000899
HAO:0000202,BFO:0000050,HAO:0000234
HAO:0000203,is_a,HAO:0000041
HAO:0000203,BFO:0000050,HAO:0000343
HAO:0000204,is_a,HAO:0001092
